OID_,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,AFFGEOID,GEOID,NAME,NAMELSAD,NAMELABEL,STUSPS,NAMELSADCO,STATE_NAME,LSAD,Shape_Length,Shape_Area,newdev,olddev,totalland,"Impervious surface growth, 2000-2019",pctold,pcttotal,totaldev,"New acres of impervious surface, 2000-2019","Households with no car, 2020","Households with at least 2 cars, 2020","Total population, 2020","Population that is white, 2020",sq mi,"Population per square mile, 2020"
51,27,163,35414,2395626,0600000US2716335414,2716335414,Landfall,Landfall city,Landfall,MN,Washington County,Minnesota,25,0.025219036,1.93E-05,0,169,159,0,90.37433155,90.37433155,169,0,11,53,796,80,0.06,14407
10,27,3,29258,2394389,0600000US2700329258,2700329258,Hilltop,Hilltop city,Hilltop,MN,Anoka County,Minnesota,25,0.024307643,3.57E-05,0,355,355,0,100,100,355,0,21,34,1007,36,0.12,8163
120,27,53,43000,2395345,0600000US2705343000,2705343000,Minneapolis,Minneapolis city,Minneapolis,MN,Hennepin County,Minnesota,25,0.625572908,0.016984089,674,150965,155496,0,91.24453766,91.65190902,151639,150,16,41,424536,63,54.03,7857
85,27,123,35738,2395642,0600000US2712335738,2712335738,Lauderdale,Lauderdale city,Lauderdale,MN,Ramsey County,Minnesota,25,0.045622575,0.000124266,1,1207,1211,0,99.58745875,99.669967,1208,0,11,49,2624,64,0.42,6236
58,27,3,12700,2393607,0600000US2700312700,2700312700,Columbia Heights,Columbia Heights city,Columbia Heights,MN,Anoka County,Minnesota,25,0.172183891,0.001034274,2,9819,9820,0,97.63348911,97.65337576,9821,0,11,51,20247,64,3.41,5933
317,27,123,58000,2396511,0600000US2712358000,2712358000,St. Paul,St. Paul city,St. Paul,MN,Ramsey County,Minnesota,25,0.655250775,0.016566264,903,137519,151016,1,85.19275683,85.7521636,138422,201,13,47,305877,55,52.48,5829
162,27,53,62014,2395935,0600000US2705362014,2705362014,Spring Park,Spring Park city,Spring Park,MN,Hennepin County,Minnesota,25,0.073723429,0.000174538,5,1025,1069,0,60.29411765,60.58823529,1030,1,14,31,2136,85,0.37,5750
107,27,53,54214,2396362,0600000US2705354214,2705354214,Richfield,Richfield city,Richfield,MN,Hennepin County,Minnesota,25,0.204160612,0.002040665,118,18521,19633,1,93.05632317,93.64919861,18639,26,11,52,36253,65,6.82,5314
242,27,53,54808,2396388,0600000US2705354808,2705354808,Robbinsdale,Robbinsdale city,Robbinsdale,MN,Hennepin County,Minnesota,25,0.145923622,0.000885812,54,7781,8006,1,90.32969584,90.95658231,7835,12,18,51,14393,67,2.78,5174
96,27,53,57220,2396500,0600000US2705357220,2705357220,St. Louis Park,St. Louis Park city,St. Louis Park,MN,Hennepin County,Minnesota,25,0.290772161,0.003202776,53,28926,30522,0,92.61951266,92.78921584,28979,12,7,49,48874,82,10.61,4608
